,,,,,,,,
PARADOS,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012
Almería,24601,27469,29870,41223,60131,70825,73372,79909
Cádiz,96015,99399,102824,123877,156639,168841,177026,194792
Córdoba,49244,50608,49881,56979,72740,77261,81544,94411
Granada,42793,43317,44634,57506,78709,88735,94192,105980
Huelva,26674,27894,29069,34480,45488,51558,55929,61705
Jaén,31065,32212,32360,37384,47801,49588,54452,63796
Málaga,73604,81078,86939,111732,156648,175141,185187,203028
Sevilla,112528,115349,116731,139707,185491,203512,218125,247018
,,,,,,,,
DEMANDANTES,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012
Almería,40823,44786,49360,62578,86649,100468,102140,109037
Cádiz,140981,142936,147730,172058,217002,234101,239936,253920
Córdoba,105397,104375,103702,111781,135270,140205,145426,158725
Granada,92893,92655,93535,106621,133659,146155,150838,162204
Huelva,55590,55310,57145,62744,80080,89629,92899,97995
Jaén,76165,76940,76659,83326,100423,101966,108070,121878
Málaga,118691,125669,133048,159253,213952,237887,247738,264636
Sevilla,217648,215756,217536,242066,303007,325563,341190,365838
